algorithm,cluster_label,size,percentage,spread,top_positive,top_distinguishing,summary
kmeans,0,5529,76.79166666666667,0.00037933283148798477,['bbox_area_norm_mean'],"['image_width', 'image_height', 'mean_y', 'n_detections', 'grouping_score']","Cluster 0 represents 76.8% of the data (5529 samples). It is characterized by abnormally high values in: bbox_area_norm_mean (+0.17). The most distinguishing features overall compared to the global average are: image_width, image_height, mean_y, n_detections, grouping_score. The within-cluster feature variance is 0.00."
kmeans,1,666,9.25,0.002327719208385832,"['blue_base_count', 'base_count', 'mean_y']","['image_width', 'image_height', 'base_count', 'blue_base_count', 'river_count']","Cluster 1 represents 9.2% of the data (666 samples). It is characterized by abnormally high values in: blue_base_count (+3.04), base_count (+3.04), mean_y (+1.40). The most distinguishing features overall compared to the global average are: image_width, image_height, base_count, blue_base_count, river_count. The within-cluster feature variance is 0.00."
kmeans,2,399,5.541666666666667,7.35267867970691e-05,"['red_side_count', 'bot_lane_count', 'lane_count_bot', 'mean_y']","['image_width', 'image_height', 'center_count', 'red_side_count', 'bot_lane_count']","Cluster 2 represents 5.5% of the data (399 samples). It is characterized by abnormally high values in: red_side_count (+3.02), bot_lane_count (+2.81), lane_count_bot (+2.81), mean_y (+1.62). The most distinguishing features overall compared to the global average are: image_width, image_height, center_count, red_side_count, bot_lane_count. The within-cluster feature variance is 0.00."
kmeans,3,357,4.958333333333333,3.0487018303920992e-05,"['bot_lane_count', 'lane_count_bot', 'mean_y']","['image_width', 'image_height', 'bot_lane_count', 'lane_count_bot', 'river_count']","Cluster 3 represents 5.0% of the data (357 samples). It is characterized by abnormally high values in: bot_lane_count (+2.81), lane_count_bot (+2.81), mean_y (+0.39). The most distinguishing features overall compared to the global average are: image_width, image_height, bot_lane_count, lane_count_bot, river_count. The within-cluster feature variance is 0.00."
kmeans,4,249,3.4583333333333335,7.699925051927896e-05,"['red_side_count', 'mean_x', 'bbox_area_norm_mean']","['image_width', 'image_height', 'center_count', 'red_side_count', 'mean_x']","Cluster 4 represents 3.5% of the data (249 samples). It is characterized by abnormally high values in: red_side_count (+3.02), mean_x (+1.15), bbox_area_norm_mean (+0.35). The most distinguishing features overall compared to the global average are: image_width, image_height, center_count, red_side_count, mean_x. The within-cluster feature variance is 0.00."
gmm,0,5529,76.79166666666667,0.00037933283148798477,['bbox_area_norm_mean'],"['image_width', 'image_height', 'mean_y', 'n_detections', 'grouping_score']","Cluster 0 represents 76.8% of the data (5529 samples). It is characterized by abnormally high values in: bbox_area_norm_mean (+0.17). The most distinguishing features overall compared to the global average are: image_width, image_height, mean_y, n_detections, grouping_score. The within-cluster feature variance is 0.00."
gmm,1,666,9.25,0.002327719208385832,"['blue_base_count', 'base_count', 'mean_y']","['image_width', 'image_height', 'base_count', 'blue_base_count', 'river_count']","Cluster 1 represents 9.2% of the data (666 samples). It is characterized by abnormally high values in: blue_base_count (+3.04), base_count (+3.04), mean_y (+1.40). The most distinguishing features overall compared to the global average are: image_width, image_height, base_count, blue_base_count, river_count. The within-cluster feature variance is 0.00."
gmm,2,399,5.541666666666667,7.35267867970691e-05,"['red_side_count', 'bot_lane_count', 'lane_count_bot', 'mean_y']","['image_width', 'image_height', 'center_count', 'red_side_count', 'bot_lane_count']","Cluster 2 represents 5.5% of the data (399 samples). It is characterized by abnormally high values in: red_side_count (+3.02), bot_lane_count (+2.81), lane_count_bot (+2.81), mean_y (+1.62). The most distinguishing features overall compared to the global average are: image_width, image_height, center_count, red_side_count, bot_lane_count. The within-cluster feature variance is 0.00."
gmm,3,357,4.958333333333333,3.0487018303920992e-05,"['bot_lane_count', 'lane_count_bot', 'mean_y']","['image_width', 'image_height', 'bot_lane_count', 'lane_count_bot', 'river_count']","Cluster 3 represents 5.0% of the data (357 samples). It is characterized by abnormally high values in: bot_lane_count (+2.81), lane_count_bot (+2.81), mean_y (+0.39). The most distinguishing features overall compared to the global average are: image_width, image_height, bot_lane_count, lane_count_bot, river_count. The within-cluster feature variance is 0.00."
gmm,4,249,3.4583333333333335,7.699925051927896e-05,"['red_side_count', 'mean_x', 'bbox_area_norm_mean']","['image_width', 'image_height', 'center_count', 'red_side_count', 'mean_x']","Cluster 4 represents 3.5% of the data (249 samples). It is characterized by abnormally high values in: red_side_count (+3.02), mean_x (+1.15), bbox_area_norm_mean (+0.35). The most distinguishing features overall compared to the global average are: image_width, image_height, center_count, red_side_count, mean_x. The within-cluster feature variance is 0.00."
