cluster_label,rank,feature,centroid_value
0,1,river_count,0.4877009083043001
0,2,mean_x,0.32424266251990225
0,3,center_count,0.32084447395987836
0,4,bbox_area_norm_mean,0.17452570738529505
0,5,n_detections,0.0
0,6,avg_pairwise_distance,0.0
0,7,bbox_area_norm_std,0.0
0,8,min_pairwise_distance,0.0
1,1,base_count,3.132221385983256
1,2,blue_base_count,3.132221385983256
1,3,mean_y,1.998061786013163
1,4,center_count,0.19696629868579166
1,5,n_detections,0.0
1,6,min_pairwise_distance,0.0
1,7,std_x,0.0
1,8,std_y,0.0
2,1,red_side_count,3.116774889895913
2,2,lane_count_bot,2.9195563916132024
2,3,bot_lane_count,2.9195563916132024
2,4,mean_y,2.2173703768764392
2,5,n_detections,0.0
2,6,min_pairwise_distance,0.0
2,7,avg_pairwise_distance,0.0
2,8,std_y,0.0
3,1,bot_lane_count,2.9195563916132063
3,2,lane_count_bot,2.9195563916132063
3,3,mean_y,0.9906281681236734
3,4,center_count,0.3208444739598745
3,5,n_detections,0.0
3,6,min_pairwise_distance,0.0
3,7,avg_pairwise_distance,0.0
3,8,std_y,0.0
4,1,red_side_count,3.1167748898959147
4,2,mean_x,1.5719715143784179
4,3,river_count,0.5039032598602696
4,4,bbox_area_norm_mean,0.35808300867049897
4,5,n_detections,0.0
4,6,avg_pairwise_distance,0.0
4,7,bbox_area_norm_std,0.0
4,8,min_pairwise_distance,0.0
