feature,count,mean,std,min,25%,50%,75%,max,median
game_id,51490.0,3306223243.396873,29460962.95436735,3214824413.0,3292217623.5,3320020920.0,3327098945.25,3331832657.0,3320020920.0
game_duration_seconds,51490.0,1832.3628083122937,512.0176963854976,190.0,1531.0,1833.0,2148.0,4728.0,1833.0
game_duration_minutes,51490.0,30.539380138538224,8.533628273091628,3.1666666666666665,25.516666666666666,30.55,35.8,78.8,30.55
t1_win,51490.0,0.5064478539522237,0.4999632784294956,0.0,0.0,1.0,1.0,1.0,1.0
t2_win,51490.0,0.49355214604777625,0.4999632784294956,0.0,0.0,0.0,1.0,1.0,0.0
t1_dragons,51490.0,1.3871819770829288,1.2068184975028131,0.0,0.0,1.0,2.0,6.0,1.0
t1_barons,51490.0,0.37228588075354435,0.583933809213849,0.0,0.0,0.0,1.0,5.0,0.0
t1_towers,51490.0,5.6993590988541465,3.7998081270160977,0.0,2.0,6.0,9.0,11.0,6.0
t1_inhibitors,51490.0,1.0175373859001748,1.2639338848234278,0.0,0.0,1.0,2.0,10.0,1.0
t1_rift_heralds,51490.0,0.2514663041367256,0.4338601822849092,0.0,0.0,0.0,1.0,1.0,0.0
t2_dragons,51490.0,1.4043697805399107,1.2244920483467658,0.0,0.0,1.0,2.0,6.0,1.0
t2_barons,51490.0,0.4145465138861915,0.6137683774391668,0.0,0.0,0.0,1.0,4.0,0.0
t2_towers,51490.0,5.549465915711789,3.860988579765565,0.0,2.0,6.0,9.0,11.0,6.0
t2_inhibitors,51490.0,0.9850844824237716,1.2562844402972309,0.0,0.0,0.0,2.0,10.0,0.0
t2_rift_heralds,51490.0,0.24010487473295786,0.42715110608026596,0.0,0.0,0.0,0.0,1.0,0.0
t1_first_blood,51490.0,0.5071470188386095,0.4999537723986843,0.0,0.0,1.0,1.0,1.0,1.0
t2_first_blood,51490.0,0.48207418916294426,0.49968341424446083,0.0,0.0,0.0,1.0,1.0,0.0
t1_first_tower,51490.0,0.5022528646339095,0.49999977990832933,0.0,0.0,1.0,1.0,1.0,1.0
t2_first_tower,51490.0,0.474189162944261,0.49933820518544203,0.0,0.0,0.0,1.0,1.0,0.0
t1_first_inhibitor,51490.0,0.4477374247426685,0.4972659505593643,0.0,0.0,0.0,1.0,1.0,0.0
t2_first_inhibitor,51490.0,0.4303748300640901,0.49513341330180033,0.0,0.0,0.0,1.0,1.0,0.0
t1_first_baron,51490.0,0.2866187609244514,0.45218626462983674,0.0,0.0,0.0,1.0,1.0,0.0
t2_first_baron,51490.0,0.3199456205088367,0.46645969406924676,0.0,0.0,0.0,1.0,1.0,0.0
t1_first_dragon,51490.0,0.47951058457953,0.4995848587659809,0.0,0.0,0.0,1.0,1.0,0.0
t2_first_dragon,51490.0,0.4816469217323752,0.49966790309386433,0.0,0.0,0.0,1.0,1.0,0.0
t1_first_rift_herald,51490.0,0.2514663041367256,0.4338601822849092,0.0,0.0,0.0,1.0,1.0,0.0
t2_first_rift_herald,51490.0,0.24010487473295786,0.42715110608026596,0.0,0.0,0.0,0.0,1.0,0.0
t1_objectives_total,51490.0,8.72783064672752,6.183765854289397,0.0,3.0,9.0,14.0,31.0,9.0
t2_objectives_total,51490.0,8.593571567294621,6.306244598360464,0.0,3.0,8.0,14.0,29.0,8.0
objective_diff,51490.0,0.13425907943289958,10.848785466980372,-25.0,-10.0,0.0,10.0,27.0,0.0
dragon_diff,51490.0,-0.01718780345698194,2.095812308702956,-6.0,-2.0,0.0,2.0,6.0,0.0
baron_diff,51490.0,-0.042260633132647114,0.9238735447859163,-4.0,-1.0,0.0,1.0,5.0,0.0
tower_diff,51490.0,0.14989318314235775,6.742266571955379,-11.0,-6.0,0.0,6.0,11.0,0.0
